NAME,HECTARES,LA_CODE01,LA_CODE11,IN_OUT,X_CENTROID,Y_CENTROID,Pop,HH,pop_densit,hh_size
Kingston upon Thames,3726.117,00AX,E09000021,Outer,519505,166134,163900,63639,43.987,2.575
Croydon,8649.554,00AH,E09000008,Outer,533922,163449,368900,145010,42.65,2.544
Bromley,15013.487,00AF,E09000006,Outer,542035,165071,314000,130862,20.915,2.399
Hounslow,5658.541,00AT,E09000018,Outer,514531,174962,259100,94902,45.789,2.73
Ealing,5554.428,00AJ,E09000009,Outer,515796,181961,340700,124082,61.338,2.746
Havering,11445.735,00AR,E09000016,Outer,555032,186650,239700,97199,20.942,2.466
Hillingdon,11570.118,00AS,E09000017,Outer,508167,183733,281800,100214,24.356,2.812
Harrow,5046.275,00AQ,E09000015,Outer,515356,189957,242400,84268,48.035,2.877
Brent,4323.27,00AE,E09000005,Outer,520507,186468,314700,110286,72.792,2.853
Barnet,8674.837,00AC,E09000003,Outer,523472,191948,364000,135916,41.96,2.678
Lambeth,2724.94,00AY,E09000022,Inner,531118,175167,310200,130017,113.837,2.386
Southwark,2991.34,00BE,E09000028,Inner,534034,175751,293500,120422,98.117,2.437
Lewisham,3531.706,00AZ,E09000023,Inner,537888,174589,281600,116091,79.735,2.426
Greenwich,5044.19,00AL,E09000011,Outer,542377,176482,260100,101045,51.564,2.574
Bexley,6428.649,00AD,E09000004,Outer,549409,175841,234300,92604,36.446,2.53
Enfield,8220.025,00AK,E09000010,Outer,531691,196197,317300,119916,38.601,2.646
Waltham Forest,3880.793,00BH,E09000031,Outer,537327,190698,262600,96861,67.667,2.711
Redbridge,5644.225,00BC,E09000026,Outer,544061,189480,284600,99105,50.423,2.872
Sutton,4384.698,00BF,E09000029,Outer,526735,163640,193600,78174,44.154,2.477
Richmond upon Thames,5876.111,00BD,E09000027,Outer,517721,172687,189100,79835,32.181,2.369
Merton,3762.466,00BA,E09000024,Outer,526025,169505,202200,78757,53.741,2.567
Wandsworth,3522.022,00BJ,E09000032,Inner,525627,174183,308300,130493,87.535,2.363
Hammersmith and Fulham,1715.409,00AN,E09000013,Inner,523930,179217,179900,80590,104.873,2.232
Kensington and Chelsea,1238.379,00AW,E09000020,Inner,525764,179843,155900,78536,125.89,1.985
Westminster,2203.005,00BK,E09000033,Inner,527508,180816,223900,105772,101.634,2.117
Camden,2178.932,00AG,E09000007,Inner,527755,184282,225000,97534,103.262,2.307
Tower Hamlets,2157.501,00BG,E09000030,Inner,536458,181372,263000,101257,121.9,2.597
Islington,1485.664,00AU,E09000019,Inner,531158,184815,211000,93556,142.024,2.255
Hackney,1904.902,00AM,E09000012,Inner,534562,185084,252100,101690,132.343,2.479
Haringey,2959.837,00AP,E09000014,Inner,531279,189350,258900,101955,87.471,2.539
Newham,3857.806,00BB,E09000025,Inner,541567,183188,314100,101519,81.419,3.094
Barking and Dagenham,3779.934,00AB,E09000002,Outer,547682,186108,190600,69681,50.424,2.735
City,314.942,00AA,E09000001,Inner,532404,181306,7600,4385,24.131,1.733
